player_id,primary_team_id,primary_team_abbr,all_teams_season,num_teams,games_with_primary_team,season
200768,1610612755,PHI,PHI,1,35,2024-25
1626168,1610612758,SAC,SAC,1,69,2024-25
1630572,1610612759,SAS,SAS,1,61,2024-25
1629611,1610612746,LAC,"ATL, LAC",2,37,2024-25
1630544,1610612766,CHA,CHA,1,13,2024-25
1628374,1610612762,UTA,UTA,1,47,2024-25
1630230,1610612742,DAL,DAL,1,69,2024-25
1628997,1610612755,PHI,"DAL, PHI",2,31,2024-25
1628998,1610612766,CHA,"CHA, PHX",2,39,2024-25
1641798,1610612764,WAS,"BKN, WAS",2,13,2024-25
1630231,1610612755,PHI,"PHI, UTA",2,24,2024-25
1631213,1610612751,BKN,BKN,1,60,2024-25
1629726,1610612737,ATL,ATL,1,47,2024-25
1631097,1610612754,IND,IND,1,72,2024-25
1631255,1610612740,NOP,NOP,1,42,2024-25
1630178,1610612755,PHI,PHI,1,52,2024-25
1630540,1610612752,NYK,NYK,1,64,2024-25
1642272,1610612755,PHI,PHI,1,23,2024-25
1630644,1610612753,ORL,ORL,1,2,2024-25
203468,1610612740,NOP,NOP,1,56,2024-25
204456,1610612754,IND,IND,1,79,2024-25
1630183,1610612750,MIN,MIN,1,82,2024-25
203926,1610612758,SAC,SAC,1,42,2024-25
1631121,1610612757,POR,POR,1,13,2024-25
1629162,1610612758,SAC,"SAC, SAS",2,28,2024-25
1629098,1610612745,HOU,HOU,1,9,2024-25
1629001,1610612744,GSW,GSW,1,6,2024-25
1630241,1610612739,CLE,CLE,1,71,2024-25
203995,1610612766,CHA,"CHA, PHX",2,36,2024-25
203114,1610612749,MIL,"MIL, WAS",2,23,2024-25
1641706,1610612766,CHA,CHA,1,27,2024-25
1641757,1610612746,LAC,LAC,1,37,2024-25
1631159,1610612750,MIN,MIN,1,13,2024-25
201988,1610612762,UTA,"LAC, UTA",2,17,2024-25
1629003,1610612747,LAL,"BKN, LAL",2,30,2024-25
1631303,1610612757,POR,POR,1,19,2024-25
1642434,1610612759,SAS,SAS,1,1,2024-25
1631169,1610612750,MIN,MIN,1,46,2024-25
1642274,1610612740,NOP,NOP,1,73,2024-25
1642349,1610612760,OKC,OKC,1,36,2024-25
1630558,1610612761,TOR,"MIA, TOR",2,44,2024-25
1628378,1610612739,CLE,CLE,1,71,2024-25
1630596,1610612739,CLE,CLE,1,71,2024-25
1642367,1610612761,TOR,TOR,1,63,2024-25
1628370,1610612758,SAC,SAC,1,65,2024-25
1630541,1610612744,GSW,GSW,1,74,2024-25
1631386,1610612757,POR,POR,1,2,2024-25
1631111,1610612765,DET,"CHA, DET",2,20,2024-25
1629630,1610612763,MEM,MEM,1,50,2024-25
202693,1610612747,LAL,"DAL, LAL",2,8,2024-25
1628420,1610612756,PHX,PHX,1,45,2024-25
1630530,1610612740,NOP,NOP,1,53,2024-25
1627749,1610612740,NOP,NOP,1,31,2024-25
1627750,1610612743,DEN,DEN,1,67,2024-25
1631099,1610612758,SAC,SAC,1,76,2024-25
1631200,1610612757,POR,POR,1,69,2024-25
1629004,1610612762,UTA,UTA,1,38,2024-25
1631250,1610612755,PHI,"MIL, PHI",2,7,2024-25
1626204,1610612737,ATL,ATL,1,24,2024-25
1629614,1610612754,IND,IND,1,65,2024-25
1630174,1610612754,IND,IND,1,45,2024-25
1641803,1610612754,IND,"IND, MIN",2,5,2024-25
1627777,1610612739,CLE,"ATL, CLE",2,51,2024-25
1630227,1610612750,MIN,MIN,1,3,2024-25
1630192,1610612743,DEN,DEN,1,57,2024-25
1629669,1610612740,NOP,NOP,1,8,2024-25
203994,1610612766,CHA,"CHA, PHX",2,26,2024-25
1626220,1610612756,PHX,PHX,1,75,2024-25
1629643,1610612755,PHI,"CLE, PHI",2,7,2024-25
1629006,1610612756,PHX,"CHA, PHX",2,25,2024-25
1630168,1610612737,ATL,ATL,1,74,2024-25
1630171,1610612739,CLE,CLE,1,55,2024-25
1642439,1610612747,LAL,LAL,1,2,2024-25
203482,1610612761,TOR,"NOP, TOR",2,24,2024-25
1626162,1610612755,PHI,PHI,1,60,2024-25
101108,1610612759,SAS,SAS,1,82,2024-25
1626166,1610612752,NYK,NYK,1,72,2024-25
203901,1610612740,NOP,"CHA, NOP",2,18,2024-25
1627780,1610612744,GSW,GSW,1,62,2024-25
1641809,1610612738,BOS,BOS,1,25,2024-25
1641763,1610612741,CHI,CHI,1,79,2024-25
1629618,1610612743,DEN,DEN,1,49,2024-25
1630590,1610612763,MEM,MEM,1,79,2024-25
1631342,1610612737,ATL,ATL,1,6,2024-25
203486,1610612756,PHX,PHX,1,74,2024-25
1641764,1610612744,GSW,GSW,1,64,2024-25
1627751,1610612761,TOR,TOR,1,57,2024-25
1629673,1610612764,WAS,WAS,1,68,2024-25
1641854,1610612739,CLE,CLE,1,51,2024-25
1629645,1610612746,LAC,"LAC, MIL",2,45,2024-25
1629008,1610612743,DEN,DEN,1,77,2024-25
1626171,1610612749,MIL,MIL,1,49,2024-25
204001,1610612738,BOS,BOS,1,42,2024-25
1642366,1610612744,GSW,GSW,1,42,2024-25
1630695,1610612762,UTA,UTA,1,38,2024-25
203939,1610612742,DAL,DAL,1,55,2024-25
1626181,1610612746,LAC,LAC,1,60,2024-25
1627752,1610612749,MIL,MIL,1,80,2024-25
1630202,1610612738,BOS,BOS,1,80,2024-25
1641765,1610612742,DAL,DAL,1,52,2024-25
1642389,1610612763,MEM,MEM,1,3,2024-25
1630243,1610612753,ORL,ORL,1,31,2024-25
1629674,1610612738,BOS,BOS,1,62,2024-25
1630193,1610612761,TOR,TOR,1,33,2024-25
1631311,1610612740,NOP,"NOP, PHI",2,9,2024-25
203944,1610612750,MIN,MIN,1,69,2024-25
1641871,1610612757,POR,POR,1,46,2024-25
1630559,1610612747,LAL,LAL,1,73,2024-25
1629629,1610612747,LAL,LAL,1,33,2024-25
1630194,1610612765,DET,DET,1,45,2024-25
1642024,1610612755,PHI,"OKC, PHI",2,14,2024-25
1641810,1610612740,NOP,NOP,1,44,2024-25
1629675,1610612750,MIN,MIN,1,80,2024-25
1631197,1610612761,TOR,"CHA, TOR",2,10,2024-25
1630208,1610612756,PHX,"CHA, PHX",2,36,2024-25
1626196,1610612748,MIA,MIA,1,8,2024-25
1642258,1610612737,ATL,ATL,1,75,2024-25
1641857,1610612749,MIL,MIL,1,13,2024-25
1629130,1610612748,MIA,MIA,1,74,2024-25
1631115,1610612761,TOR,"SAC, TOR",2,35,2024-25
1630526,1610612740,NOP,NOP,1,66,2024-25
1631223,1610612737,ATL,"ATL, HOU, PHI",3,27,2024-25
1631157,1610612749,MIL,MIL,1,56,2024-25
1642050,1610612744,GSW,GSW,1,6,2024-25
1626179,1610612748,MIA,MIA,1,64,2024-25
1641712,1610612757,POR,POR,1,52,2024-25
1626156,1610612747,LAL,"BKN, LAL",2,29,2024-25
1630346,1610612752,NYK,NYK,1,19,2024-25
1627734,1610612758,SAC,SAC,1,70,2024-25
1642275,1610612766,CHA,CHA,1,60,2024-25
1641766,1610612741,CHI,CHI,1,4,2024-25
1630611,1610612744,GSW,GSW,1,56,2024-25
1642259,1610612764,WAS,WAS,1,67,2024-25
1631204,1610612765,DET,DET,1,57,2024-25
1631248,1610612738,BOS,BOS,1,31,2024-25
203471,1610612765,DET,"BKN, DET, GSW",3,28,2024-25
1630578,1610612745,HOU,HOU,1,76,2024-25
1641729,1610612762,UTA,UTA,1,71,2024-25
1629012,1610612762,UTA,UTA,1,63,2024-25
1629013,1610612752,NYK,NYK,1,50,2024-25
1630545,1610612750,MIN,MIN,1,32,2024-25
1630549,1610612751,BKN,BKN,1,50,2024-25
1631101,1610612757,POR,POR,1,72,2024-25
1642347,1610612761,TOR,TOR,1,75,2024-25
1641767,1610612754,IND,IND,1,63,2024-25
1642263,1610612745,HOU,HOU,1,52,2024-25
1627783,1610612754,IND,IND,1,78,2024-25
1627732,1610612751,BKN,"BKN, LAC",2,33,2024-25
1629014,1610612757,POR,POR,1,70,2024-25
1642354,1610612766,CHA,CHA,1,36,2024-25
1630579,1610612752,NYK,"MIL, NYK",2,39,2024-25
203935,1610612763,MEM,"MEM, WAS",2,19,2024-25
1630696,1610612748,MIA,MIA,1,14,2024-25
1630188,1610612741,CHI,CHI,1,64,2024-25
1641890,1610612749,MIL,MIL,1,23,2024-25
1631095,1610612745,HOU,HOU,1,57,2024-25
1641733,1610612766,CHA,CHA,1,60,2024-25
1631110,1610612759,SAS,SAS,1,54,2024-25
1642285,1610612763,MEM,MEM,1,25,2024-25
1630311,1610612744,GSW,GSW,1,39,2024-25
1630531,1610612738,BOS,"BOS, UTA",2,26,2024-25
1630191,1610612765,DET,DET,1,72,2024-25
1631124,1610612743,DEN,DEN,1,65,2024-25
1629622,1610612739,CLE,CLE,1,50,2024-25
1630591,1610612753,ORL,ORL,1,35,2024-25
1631306,1610612761,TOR,"DET, TOR",2,8,2024-25
1630256,1610612745,HOU,HOU,1,52,2024-25
1628369,1610612738,BOS,BOS,1,72,2024-25
202066,1610612761,TOR,TOR,1,28,2024-25
1631207,1610612741,CHI,CHI,1,73,2024-25
1628464,1610612740,NOP,NOP,1,37,2024-25
1630560,1610612751,BKN,BKN,1,25,2024-25
1641708,1610612745,HOU,HOU,1,69,2024-25
1641709,1610612765,DET,DET,1,59,2024-25
202691,1610612742,DAL,DAL,1,72,2024-25
202684,1610612739,CLE,CLE,1,40,2024-25
1630550,1610612764,WAS,"CLE, WAS",2,11,2024-25
1630214,1610612738,BOS,BOS,1,33,2024-25
