Player_ID,full_name,first_name,last_name,Primary_Team_ID,Primary_Team,Primary_Team_Abbr,Games_With_Primary_Team,All_Teams,Num_Teams,Season_Games,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV_ratio
1629098,Jack McVeigh,Jack,McVeigh,1610612745,Houston Rockets,HOU,9,HOU,1,9,4.889,0.556,1.889,0.25,0.444,1.444,0.222,0.0,0.0,0.0,0.222,0.333,0.556,0.111,0.0,0.222,0.222,0.333,1.556,0.5
1629001,De'Anthony Melton,De'Anthony,Melton,1610612744,Golden State Warriors,GSW,6,GSW,1,6,20.167,3.667,9.0,0.38,2.167,5.833,0.34,0.833,1.333,0.194,1.0,2.333,3.333,2.833,1.167,0.333,1.667,3.0,10.333,1.7
1630241,Sam Merrill,Sam,Merrill,1610612739,Cleveland Cavaliers,CLE,71,CLE,1,71,19.803,2.423,5.972,0.388,1.93,5.183,0.35,0.394,0.408,0.176,0.535,1.676,2.211,1.521,0.746,0.197,0.493,1.746,7.169,3.086
203995,Vasilije Micić,Vasilije,Micić,1610612766,Charlotte Hornets,CHA,36,"CHA, PHX",2,41,19.171,2.317,6.659,0.293,1.098,3.049,0.27,0.829,1.0,0.32,0.488,1.683,2.171,3.122,0.366,0.0,1.878,1.098,6.561,1.662
203114,Khris Middleton,Khris,Middleton,1610612749,Milwaukee Bucks,MIL,23,"MIL, WAS",2,37,22.892,4.324,9.108,0.441,1.297,3.595,0.305,1.946,2.27,0.559,0.351,3.351,3.703,4.054,0.946,0.216,1.514,2.027,11.892,2.679
1641706,Brandon Miller,Brandon,Miller,1610612766,Charlotte Hornets,CHA,27,CHA,1,27,34.259,7.333,18.185,0.407,3.852,10.852,0.359,2.519,2.926,0.716,0.926,3.926,4.852,3.63,1.074,0.741,2.815,2.741,21.037,1.289
1641757,Jordan Miller,Jordan,Miller,1610612746,Los Angeles Clippers,LAC,37,LAC,1,37,11.297,1.568,3.622,0.32,0.216,1.027,0.091,0.757,0.946,0.272,0.622,0.946,1.568,0.919,0.459,0.135,0.703,0.703,4.108,1.308
1631159,Leonard Miller,Leonard,Miller,1610612750,Minnesota Timberwolves,MIN,13,MIN,1,13,2.462,0.462,1.154,0.353,0.0,0.385,0.0,0.615,0.615,0.231,0.231,0.615,0.846,0.0,0.154,0.077,0.154,0.154,1.538,0.0
201988,Patty Mills,Patty,Mills,1610612762,Utah Jazz,UTA,17,"LAC, UTA",2,29,11.069,1.241,3.31,0.291,0.897,2.586,0.267,0.448,0.483,0.19,0.138,0.621,0.759,0.897,0.448,0.103,0.586,0.828,3.828,1.529
1629003,Shake Milton,Shake,Milton,1610612747,Los Angeles Lakers,LAL,30,"BKN, LAL",2,57,14.649,2.018,4.456,0.323,0.667,1.86,0.204,0.825,1.035,0.273,0.544,1.281,1.825,1.789,0.439,0.07,0.702,1.175,5.526,2.55
