player_id,games_played,min_avg,fgm_avg,fga_avg,fg_pct,fg3m_avg,fg3a_avg,fg3_pct,ftm_avg,fta_avg,ft_pct,oreb_avg,dreb_avg,reb_avg,ast_avg,stl_avg,blk_avg,tov_avg,pf_avg,pts_avg,ast_tov_ratio,season
1641730,46,22.717,2.891,8.087,0.349,1.891,5.674,0.29,1.457,1.739,0.488,0.935,3.0,3.935,0.87,0.522,0.457,1.0,2.283,9.13,0.87,2024-25
1641731,59,33.017,4.458,10.576,0.411,1.068,3.797,0.252,2.339,3.136,0.664,1.542,3.441,4.983,3.373,1.322,0.695,2.119,2.356,12.322,1.592,2024-25
1641732,39,13.231,1.513,3.308,0.332,0.41,1.256,0.176,0.59,0.897,0.194,0.538,1.692,2.231,1.128,0.667,0.333,0.59,0.949,4.026,1.913,2024-25
1641733,60,22.8,3.7,9.467,0.367,1.733,5.1,0.319,0.717,0.767,0.279,0.217,1.917,2.133,2.417,0.283,0.1,1.367,1.317,9.85,1.768,2024-25
1641734,10,7.5,1.3,3.8,0.201,1.1,3.0,0.272,0.0,0.0,0.0,0.0,0.7,0.7,0.8,0.1,0.1,0.2,0.4,3.7,4.0,2024-25
1641736,36,13.139,0.972,2.972,0.251,0.194,1.111,0.113,0.444,0.583,0.181,0.361,0.722,1.083,1.75,0.917,0.056,0.583,1.0,2.583,3.0,2024-25
1641737,58,15.69,2.328,3.31,0.568,0.0,0.017,0.0,1.155,1.724,0.373,1.586,2.638,4.224,0.466,0.448,1.19,1.052,2.155,5.81,0.443,2024-25
1641738,40,6.775,0.825,1.8,0.331,0.15,0.65,0.133,0.125,0.175,0.1,0.475,1.15,1.625,0.6,0.175,0.1,0.3,0.575,1.925,2.0,2024-25
1641739,78,32.692,4.205,9.179,0.454,1.731,4.615,0.348,1.167,1.615,0.386,2.218,3.551,5.769,2.244,1.487,0.641,1.397,2.949,11.308,1.606,2024-25
1641740,40,13.075,1.4,3.0,0.365,0.55,1.275,0.265,0.725,0.925,0.201,0.65,0.675,1.325,0.65,0.9,0.05,0.2,1.525,4.075,3.25,2024-25
1641741,73,17.192,2.425,6.342,0.347,0.753,2.918,0.223,1.685,2.096,0.466,0.699,2.233,2.932,1.329,0.438,0.178,0.712,0.918,7.288,1.865,2024-25
1641744,66,21.5,3.803,6.561,0.601,0.273,0.788,0.157,1.364,1.924,0.504,3.515,4.788,8.303,0.985,0.545,1.288,1.333,2.758,9.242,0.739,2024-25
1641745,37,5.459,0.676,2.595,0.215,0.378,1.946,0.169,0.027,0.054,0.014,0.189,0.541,0.73,0.324,0.216,0.081,0.108,0.405,1.757,3.0,2024-25
1641748,67,14.582,1.403,2.94,0.382,0.448,1.134,0.232,0.179,0.358,0.085,0.97,1.746,2.716,1.239,0.507,0.209,0.866,1.701,3.433,1.431,2024-25
1641752,8,5.375,0.75,1.25,0.094,0.25,0.625,0.062,0.125,0.25,0.062,0.125,0.75,0.875,0.875,0.25,0.125,0.125,1.0,1.875,7.0,2024-25
1641753,21,5.048,0.429,1.286,0.194,0.0,0.381,0.0,0.571,0.762,0.262,0.476,1.19,1.667,0.238,0.238,0.0,0.286,0.381,1.429,0.833,2024-25
1641757,37,11.297,1.568,3.622,0.32,0.216,1.027,0.091,0.757,0.946,0.272,0.622,0.946,1.568,0.919,0.459,0.135,0.703,0.703,4.108,1.308,2024-25
1641763,79,14.241,1.62,3.633,0.432,0.633,1.937,0.269,0.759,0.962,0.292,0.848,1.291,2.139,0.494,0.481,0.253,0.342,1.367,4.633,1.444,2024-25
1641764,64,26.875,4.375,9.828,0.408,1.797,4.828,0.337,1.125,1.484,0.407,1.016,4.062,5.078,3.438,1.078,0.203,1.172,1.484,11.672,2.933,2024-25
1641765,52,11.192,1.346,3.346,0.3,0.231,0.981,0.119,0.942,1.462,0.277,0.846,1.577,2.423,0.769,0.5,0.115,0.269,0.538,3.865,2.857,2024-25
1641766,4,5.5,1.0,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.25,1.5,0.25,0.0,0.0,0.25,0.25,2.0,1.0,2024-25
1641767,63,19.54,1.905,4.556,0.38,1.079,3.159,0.287,0.381,0.429,0.187,0.698,2.111,2.81,1.349,0.603,0.222,0.349,1.984,5.27,3.864,2024-25
1641774,35,14.629,3.429,6.914,0.509,1.086,2.914,0.291,1.486,1.914,0.552,0.743,2.971,3.714,1.114,0.314,0.657,1.2,1.629,9.429,0.929,2024-25
1641775,52,7.712,0.577,1.596,0.229,0.288,1.058,0.154,0.135,0.231,0.062,0.442,0.885,1.327,0.365,0.231,0.212,0.327,0.577,1.577,1.118,2024-25
